orderId,itemId,quantity,price
942,Towel,1,10.57
349,Curtain,1,13.73
802,Bread,1,61.81
159,Tompouce,1,12.15
344,Shirt,1,36.14
546,Curtain,1,53.75
404,Book,1,2.68
888,Paper,1,12.94
601,Pen,1,63.58
783,Book,1,74.22
982,Paper,1,18.53
270,Bread,1,22.5
255,Book,1,6.65
450,Shirt,1,22.28
888,Pen,1,50.74
572,Towel,1,65.39
426,Pen,1,59.01
233,Curtain,1,71.28
124,Tompouce,1,31.84
545,Pen,1,44.01
325,Shirt,1,68.04
649,Paper,1,82.52
872,Shirt,1,58.86
899,Tompouce,1,50.41
637,Socks,1,66.72
697,Paper,1,43.18
264,Tompouce,1,19.25
201,Shirt,1,38.34
957,Towel,1,61.23
986,Tompouce,1,39.16
807,Tompouce,1,18.03
531,Pen,1,29.1
443,Tompouce,1,11.5
501,Socks,1,47.1
593,Curtain,1,66.71
408,Curtain,1,78.01
203,Bread,1,82.81
632,Socks,1,60.31
991,Book,1,20.29
735,Towel,1,79.28
279,Shirt,1,49.05
172,Book,1,53.76
635,Pen,1,55.19
908,Bread,1,33.67
142,Towel,1,66.94
895,Curtain,1,50.28
526,Bread,1,55.55
629,Curtain,1,66.57
305,Socks,1,20.1
220,Curtain,1,24.61
964,Curtain,1,51.05
768,Curtain,1,60.59
769,Paper,1,17.61
345,Curtain,1,45.35
844,Shirt,1,50.18
271,Pen,1,28.36
220,Shirt,1,65.47
120,Paper,1,11.44
481,Bread,1,72.75
874,Book,1,60.78
457,Curtain,1,37.63
271,Paper,1,79.59
271,Socks,1,34.08
255,Curtain,1,73.36
961,Book,1,44.83
283,Book,1,67.23
535,Curtain,1,48.13
776,Shirt,1,54.73
870,Curtain,1,66.37
334,Towel,1,51.31
704,Towel,1,23.76
782,Shirt,1,75.15
721,Curtain,1,60.36
236,Pen,1,47.83
205,Shirt,1,67.04
831,Curtain,1,61.14
799,Pen,1,72.82
338,Shirt,1,30.76
445,Paper,1,66.6
879,Bread,1,36.84
645,Shirt,1,54.43
216,Paper,1,38.89
254,Bread,1,67.16
983,Pen,1,3.28
247,Paper,1,17.8
950,Shirt,1,27.17
343,Paper,1,53.12
277,Towel,1,34.29
938,Tompouce,1,26.31
123,Tompouce,1,62.08
125,Book,1,79.01
320,Socks,1,76.41
167,Book,1,31.42
677,Book,1,82.76
408,Bread,1,32.18
219,Curtain,1,62.31
243,Shirt,1,46.47
852,Tompouce,1,44.94
568,Towel,1,82.76
376,Shirt,1,76.83
132,Tompouce,1,77.42
400,Socks,1,26.62
666,Socks,1,2.97
389,Bread,1,24.52
362,Pen,1,35.12
425,Socks,1,39.67
705,Curtain,1,19.57
845,Pen,1,21.28
707,Shirt,1,46.31
341,Paper,1,28.36
884,Shirt,1,60.95
667,Bread,1,78.86
604,Tompouce,1,2.56
296,Tompouce,1,8.96
854,Pen,1,62.81
785,Socks,1,75.69
217,Socks,1,18.09
615,Tompouce,1,70.59
595,Towel,1,22.27
338,Shirt,1,34.25
992,Book,1,18.23
254,Socks,1,9.65
562,Curtain,1,63.7
148,Shirt,1,52.25
605,Socks,1,79.96
248,Book,1,17.27
907,Curtain,1,59.05
649,Bread,1,33.05
687,Pen,1,30.34
794,Book,1,7.49
870,Paper,1,8.16
165,Towel,1,78.59
333,Paper,1,62.47
525,Bread,1,60.13
583,Tompouce,1,33.37
748,Shirt,1,3.48
793,Paper,1,15.8
622,Towel,1,9.13
518,Shirt,1,80.83
500,Socks,1,6.06
101,Pen,1,45.23
