orderId,itemId,quantity,price
359,Paper,1,22.01
129,Tompouce,1,32.26
876,Curtain,1,43.91
458,Curtain,1,68.69
380,Tompouce,1,66.68
592,Curtain,1,75
565,Pen,1,71.12
744,Curtain,1,80.65
406,Tompouce,1,66.89
617,Paper,1,14.65
459,Bread,1,61.57
416,Curtain,1,51.86
604,Shirt,1,75.54
787,Bread,1,38.78
172,Paper,1,60.76
483,Socks,1,54.9
508,Towel,1,4.1
861,Book,1,53.97
911,Pen,1,68.09
336,Shirt,1,12.43
769,Bread,1,66.17
399,Shirt,1,24.97
415,Paper,1,29.99
344,Towel,1,79.62
109,Socks,1,34.37
750,Paper,1,67.82
947,Book,1,19.71
314,Paper,1,67.68
887,Socks,1,30.47
687,Towel,1,81.57
868,Towel,1,5.25
138,Shirt,1,70.59
617,Socks,1,18.02
930,Pen,1,4.75
450,Curtain,1,46.8
327,Curtain,1,12.57
655,Paper,1,40.88
583,Towel,1,35.77
308,Socks,1,61.28
392,Towel,1,9.98
513,Shirt,1,29.35
952,Book,1,24.47
168,Tompouce,1,20.72
754,Pen,1,2.65
629,Towel,1,24.31
551,Tompouce,1,58.74
131,Tompouce,1,5.11
715,Paper,1,30.31
427,Book,1,69.76
318,Pen,1,32.26
275,Curtain,1,3.31
784,Shirt,1,81.08
301,Bread,1,56.37
952,Book,1,58.89
981,Paper,1,41.8
556,Pen,1,65.34
727,Paper,1,16.64
833,Socks,1,7.74
272,Paper,1,35.63
925,Bread,1,3.88
947,Shirt,1,47.28
371,Paper,1,16.38
445,Paper,1,46.09
657,Tompouce,1,54.01
767,Shirt,1,17.99
846,Bread,1,11
758,Towel,1,5.11
552,Bread,1,9.8
864,Socks,1,33.23
443,Paper,1,63.36
198,Pen,1,40.06
297,Pen,1,25.55
309,Socks,1,61.7
148,Towel,1,78.6
553,Paper,1,65.26
433,Pen,1,66.76
314,Towel,1,13.56
826,Socks,1,65.91
470,Socks,1,12.37
344,Towel,1,59.66
327,Socks,1,48.59
955,Curtain,1,64.39
250,Towel,1,4.96
430,Tompouce,1,35.88
146,Pen,1,18.38
922,Book,1,78.13
410,Curtain,1,24.93
229,Shirt,1,17.64
199,Pen,1,45.13
251,Shirt,1,21.85
285,Towel,1,56.05
429,Pen,1,7.24
645,Socks,1,35.39
789,Book,1,68
829,Tompouce,1,36.1
332,Curtain,1,31.83
894,Pen,1,80.69
632,Shirt,1,77.72
141,Socks,1,6.86
473,Pen,1,5.51
98,Paper,1,29.76
823,Towel,1,62.18
690,Curtain,1,19.52
577,Pen,1,3.3
530,Paper,1,41.11
432,Bread,1,64.43
930,Bread,1,10.76
171,Book,1,43.44
231,Bread,1,58.46
223,Tompouce,1,4.4
789,Paper,1,4.86
948,Tompouce,1,73.86
377,Socks,1,17.57
106,Book,1,4.92
767,Towel,1,22.26
977,Tompouce,1,24.32
393,Bread,1,31.88
326,Book,1,13.02
852,Towel,1,62.72
198,Book,1,36.34
751,Socks,1,13.23
786,Tompouce,1,76.95
306,Shirt,1,61.29
877,Curtain,1,51.25
766,Tompouce,1,38.79
613,Tompouce,1,79.35
645,Curtain,1,8.96
290,Tompouce,1,17.52
509,Book,1,2.78
110,Towel,1,50.66
799,Shirt,1,67.86
688,Pen,1,40.76
399,Tompouce,1,3.05
949,Paper,1,60.37
764,Socks,1,82.87
516,Towel,1,6.25
733,Pen,1,74.45
549,Bread,1,5.33
191,Shirt,1,29.34
698,Pen,1,18.6
719,Socks,1,14.54
880,Pen,1,59.2
432,Tompouce,1,48.32
774,Shirt,1,35.35
530,Shirt,1,12.59
407,Tompouce,1,17.29
655,Tompouce,1,52.79
780,Tompouce,1,49.54
710,Shirt,1,8.27
477,Curtain,1,58.41
757,Socks,1,27.37
820,Curtain,1,43.57
979,Pen,1,49.67
248,Paper,1,63.98
221,Socks,1,54.93
457,Book,1,73.88
853,Bread,1,51.58
418,Curtain,1,55.61
877,Book,1,26.21
481,Book,1,48.33
868,Pen,1,37.27
384,Socks,1,57.05
817,Pen,1,21.17
736,Bread,1,52.89
407,Towel,1,64.27
613,Tompouce,1,36.57
629,Towel,1,14.73
283,Tompouce,1,35.56
133,Book,1,53.97
730,Paper,1,15.8
810,Socks,1,14.41
643,Curtain,1,49.92
182,Book,1,57.99
810,Curtain,1,16.1
185,Shirt,1,68.98
990,Curtain,1,79.92
738,Socks,1,23.65
459,Bread,1,27.49
570,Curtain,1,49.27
860,Pen,1,12.09
541,Pen,1,73.38
676,Paper,1,29.84
798,Socks,1,69.25
852,Bread,1,18.09
497,Tompouce,1,52.41
846,Socks,1,13.31
977,Pen,1,64.35
